"x","y","z","subject"
-22.417,43.636,-17.845,4
34.939,45.638,-17.146,4
50.234,46.172,-16.959,4
-61.137,46.082,-18.395,4
-57.313,46.215,-18.348,4
-53.49,46.349,-18.302,4
-49.666,46.482,-18.255,4
-45.842,46.616,-18.208,4
-42.018,46.749,-18.162,4
7.6908,48.485,-17.556,4
34.457,49.42,-17.229,4
38.281,49.553,-17.183,4
49.752,49.954,-17.043,4
-57.795,49.996,-18.431,4
-53.972,50.13,-18.385,4
-50.148,50.263,-18.338,4
-46.324,50.397,-18.292,4
-27.205,51.065,-18.058,4
18.68,52.667,-17.499,4
33.975,53.201,-17.312,4
37.799,53.334,-17.266,4
41.623,53.468,-17.219,4
49.27,53.735,-17.126,4
53.094,53.869,-17.079,4
-46.806,54.178,-18.375,4
-39.159,54.445,-18.282,4
-35.335,54.579,-18.235,4
-27.687,54.846,-18.142,4
-23.864,54.979,-18.095,4
10.55,56.181,-17.675,4
14.374,56.315,-17.629,4
33.493,56.982,-17.396,4
37.317,57.116,-17.349,4
41.141,57.249,-17.302,4
44.964,57.383,-17.256,4
48.788,57.516,-17.209,4
52.612,57.65,-17.162,4
-54.936,57.692,-18.551,4
-43.465,58.093,-18.411,4
-39.641,58.227,-18.365,4
-35.817,58.36,-18.318,4
-31.993,58.494,-18.272,4
-28.169,58.627,-18.225,4
-24.346,58.761,-18.178,4
-20.522,58.894,-18.132,4
-9.0506,59.295,-17.992,4
2.4207,59.695,-17.852,4
10.068,59.962,-17.759,4
13.892,60.096,-17.712,4
29.187,60.63,-17.526,4
33.011,60.763,-17.479,4
40.658,61.031,-17.386,4
44.482,61.164,-17.339,4
48.306,61.298,-17.292,4
-51.594,61.607,-18.588,4
-43.947,61.874,-18.495,4
-40.123,62.008,-18.448,4
-36.299,62.141,-18.401,4
-32.475,62.275,-18.355,4
-28.652,62.408,-18.308,4
-24.828,62.542,-18.262,4
-21.004,62.675,-18.215,4
-17.18,62.809,-18.168,4
5.7624,63.61,-17.889,4
13.41,63.877,-17.795,4
17.234,64.011,-17.749,4
21.058,64.144,-17.702,4
28.705,64.411,-17.609,4
32.529,64.545,-17.562,4
36.353,64.678,-17.516,4
40.176,64.812,-17.469,4
-44.429,65.656,-18.578,4
-40.605,65.789,-18.531,4
-36.781,65.923,-18.485,4
-29.134,66.19,-18.391,4
-25.31,66.323,-18.345,4
-13.839,66.724,-18.205,4
-10.015,66.857,-18.158,4
-6.191,66.991,-18.112,4
-2.3672,67.124,-18.065,4
5.2803,67.391,-17.972,4
9.1041,67.525,-17.925,4
12.928,67.658,-17.879,4
16.752,67.792,-17.832,4
20.575,67.925,-17.785,4
24.399,68.059,-17.739,4
28.223,68.193,-17.692,4
39.694,68.593,-17.552,4
-44.911,69.437,-18.661,4
-41.087,69.57,-18.615,4
-29.616,69.971,-18.475,4
-14.321,70.505,-18.288,4
-10.497,70.639,-18.242,4
-6.6731,70.772,-18.195,4
-2.8493,70.906,-18.148,4
0.97448,71.039,-18.102,4
4.7983,71.173,-18.055,4
16.27,71.573,-17.915,4
20.093,71.707,-17.869,4
27.741,71.974,-17.775,4
31.565,72.107,-17.729,4
19.611,75.488,-17.952,4
23.435,75.622,-17.905,4
31.083,75.889,-17.812,4
7.6579,78.869,-18.175,4
15.305,79.136,-18.082,4
19.129,79.269,-18.035,4
22.953,79.403,-17.988,4
30.6,79.67,-17.895,4
1.6541,-54.322,-11.496,4
-2.6518,-50.674,-11.626,4
0.68988,-46.76,-11.663,4
4.5137,-46.626,-11.616,4
15.985,-46.226,-11.476,4
19.809,-46.092,-11.43,4
-7.4397,-43.245,-11.839,4
0.2078,-42.978,-11.746,4
4.0316,-42.845,-11.699,4
11.679,-42.578,-11.606,4
15.503,-42.444,-11.56,4
19.327,-42.311,-11.513,4
-0.27429,-39.197,-11.829,4
3.5495,-39.064,-11.783,4
7.3733,-38.93,-11.736,4
11.197,-38.796,-11.689,4
15.021,-38.663,-11.643,4
18.845,-38.529,-11.596,4
22.668,-38.396,-11.55,4
-16.051,-35.95,-12.099,4
-0.75637,-35.416,-11.913,4
6.8912,-35.149,-11.819,4
10.715,-35.015,-11.773,4
14.539,-34.882,-11.726,4
18.362,-34.748,-11.679,4
26.01,-34.481,-11.586,4
-16.534,-32.169,-12.182,4
6.4091,-31.367,-11.903,4
10.233,-31.234,-11.856,4
29.352,-30.566,-11.623,4
33.175,-30.433,-11.576,4
-20.839,-28.521,-12.312,4
-17.016,-28.387,-12.266,4
5.927,-27.586,-11.986,4
25.046,-26.919,-11.753,4
28.87,-26.785,-11.706,4
36.517,-26.518,-11.613,4
-44.264,-25.541,-12.675,4
-40.44,-25.407,-12.629,4
-21.321,-24.74,-12.395,4
-17.498,-24.606,-12.349,4
5.4449,-23.805,-12.069,4
28.388,-23.004,-11.789,4
32.211,-22.87,-11.743,4
36.035,-22.737,-11.696,4
-48.57,-21.893,-12.805,4
-44.746,-21.759,-12.758,4
-29.451,-21.225,-12.572,4
-25.627,-21.092,-12.525,4
-21.804,-20.958,-12.479,4
4.9628,-20.024,-12.152,4
43.201,-18.688,-11.686,4
-49.052,-18.112,-12.888,4
-41.405,-17.845,-12.795,4
-29.933,-17.444,-12.655,4
