"","x","y","z","face","place","object"
"V3400",35.083,79.353,22.597,-0.000440082705347788,0.00101852349825096,-0.000578440792903169
"V3413",15,86.248,22.198,-0.00075107580445747,0.00033913182013003,0.000411943984327441
"V3428",5.1721,-47.077,28.83,0.00151833896664927,-0.000499492350272326,-0.00101884661637694
"V3436",4.69,-43.295,28.746,-0.000504989966833314,-0.000392481772936875,0.00089747173977019
"V3459",45.787,-34.264,29.093,9.07399921049984e-05,-0.00092815538402804,0.000837415391923041
"V3470",45.305,-30.483,29.01,0.00114865197052212,0.000123078548954381,-0.0012717305194765
"V3495",-37.404,-14.38,27.614,0.00105871038951433,0.000284345970735604,-0.00134305636024993
"V3496",-33.581,-14.247,27.661,0.000336261361848442,-0.000108339274685111,-0.000227922087163332
"V3502",-45.534,-10.866,27.438,-0.000441364007205813,-0.000528247204524454,0.000969611211730267
"V3507",38.107,-4.1472,28.38,-0.000814645086020468,0.00044352661015322,0.000371118475867248
"V3509",45.754,-3.8802,28.474,-0.000358913357903009,-0.000769921198579655,0.00112883455648266
"V3572",51.441,41.896,27.614,-0.000666020894959327,0.000247349224924501,0.000418671670034825
"V3590",49.512,57.021,27.281,0.000675544198389517,-0.00113705971498183,0.000461515516592313
"V3594",-8.3263,58.799,26.499,-0.000728527261092087,-0.000455851635146443,0.00118437889623853
"V3601",-8.8084,62.581,26.415,-0.000451855516246149,-0.000463618111782055,0.000915473628028204
"V3620",-2.125,70.41,26.342,6.81087485800687e-05,-0.000341521803491994,0.000273413054911925
"V3624",36.113,71.745,26.809,0.000913747657067,-0.000170276305959885,-0.000743471351107115
"V3628",-37.021,72.99,25.839,0.000281941478800579,9.2604441723608e-05,-0.000374545920524187
"V3629",-33.197,73.123,25.886,0.000590007464250394,3.37497884339657e-05,-0.000623757252684359
"V3637",-33.679,76.905,25.803,0.000510809180362719,-0.000553662724909819,4.28535445471008e-05
"V3665",5.72,-50.903,32.958,0.00072905984703987,-0.000640465871152865,-8.85939758870058e-05
"V3682",12.403,-43.073,32.884,0.000116988552826481,-0.000157219459107078,4.02309062805971e-05
"V3685",27.698,-42.539,33.071,-0.00114825381015116,0.000198276901293117,0.000949976908858047
"V3703",38.206,-34.576,33.044,0.000399998675279626,-0.000183342741714007,-0.000216655933565619
"V3722",33.418,-27.147,32.831,0.000623276138524555,-0.000103225921711567,-0.000520050216812988
