voxel,face,place,object,x,y,z,subject,class,cluster
2764,1.3108513209222236e-4,-1.4087853165890306e-4,9.793399566680677e-6,16.587,-56.31,10.141,8,object,3
2775,2.7941095435604436e-5,-1.5567144067580853e-4,1.2773034524020407e-4,12.8,-52.72,10.462,8,object,3
2786,6.834552471587863e-6,-9.67734101890232e-5,8.993885771743533e-5,12.617,-48.97,10.619,8,object,3
2835,1.0090207842830072e-4,4.103661886743479e-7,-1.0131244461697508e-4,-39.123,-24.953,14.001,8,face,1
2844,5.3909419765728926e-5,3.548022747153603e-5,-8.938964723726496e-5,-39.488,-17.454,14.315,8,face,1
2845,6.99564685606737e-5,1.4465846568498514e-5,-8.442231512917223e-5,-35.883,-17.294,14.153,8,face,1
2922,-1.0686300609248329e-4,-2.749247676934383e-6,1.0961225376941765e-4,47.713,46.531,12.768,8,object,3
2929,1.768570494706431e-5,8.539624313680724e-5,-1.0308194808387155e-4,58.345,50.76,12.437,8,place,2
2930,5.563722947618203e-5,3.318830686228767e-5,-8.882553633846971e-5,61.949,50.919,12.274,8,face,1
2933,1.5320870291066853e-4,6.568002623086428e-5,-2.188887291415328e-4,-53.582,49.566,17.64,8,face,1
2934,2.188561299383164e-4,-6.534016535210233e-5,-1.535159645862141e-4,-49.977,49.726,17.478,8,face,1
2939,1.0306470760223835e-4,1.1668047550672314e-5,-1.1473275515291066e-4,58.162,54.509,12.595,8,face,1
2940,5.632766007648517e-5,1.996683337984053e-5,-7.62944934563257e-5,61.767,54.668,12.432,8,face,1
2943,2.093536872422442e-4,-6.0641895088647174e-5,-1.4871179215359702e-4,-50.16,53.475,17.635,8,face,1
2947,-8.681275786910799e-6,-1.2825862860469793e-4,1.3693990439160873e-4,50.771,57.94,13.078,8,object,3
2953,-6.467234069374274e-5,7.334893606055623e-5,-8.676595366813488e-6,-10.691,58.979,16.002,8,place,2
2954,1.314808843976928e-4,-4.7455740128871404e-5,-8.402514426882141e-5,0.12328,59.458,15.514,8,face,1
2956,-8.557164508801715e-7,-1.1735854568795055e-4,1.1821426213883076e-4,46.984,61.531,13.398,8,object,3
2957,3.392591108259286e-5,-1.7493430074147463e-4,1.4100838965888174e-4,50.588,61.69,13.235,8,object,3
2958,-2.155242046684622e-5,-1.099597010729893e-4,1.315121215398355e-4,54.193,61.849,13.073,8,object,3
2959,-4.136941489209112e-5,-8.711363664976908e-5,1.284830515418602e-4,-57.733,60.656,18.276,8,object,3
