voxel,x,y,z,face,place,object,cluster,category
V2943,-50.16,53.475,17.635,4.8208935427362e-4,-4.2229179666265e-4,-5.97975576109633e-5,2,face
V2947,50.771,57.94,13.078,-5.3703155380649e-4,4.9540447018875e-4,4.1627083617741e-5,3,place
V2954,0.12328,59.458,15.514,-3.6639823621866e-4,3.020168224939e-4,6.43814137247613e-5,3,place
V2956,46.984,61.531,13.398,-4.6596630646487e-4,4.4897830199514e-4,1.69880044697311e-5,3,place
V2957,50.588,61.69,13.235,-2.4182033525933e-4,-2.7301286904782e-4,5.1483320430716e-4,1,object
V2958,54.193,61.849,13.073,-6.083559062696e-4,-1.2504108665411e-4,7.3339699292371e-4,1,object
V2960,-54.129,60.815,18.113,-1.4041752198776e-4,3.6488236810332e-4,-2.2446484611555e-4,3,place
V2963,-25.292,62.091,16.811,-4.8875395623195e-4,6.794345989665e-4,-1.9068064273454e-4,3,place
V2964,-21.687,62.25,16.648,-6.612097067441e-4,7.7865447974896e-4,-1.1744477300486e-4,3,place
V2976,-21.869,66.001,16.806,3.4811061148798e-4,-2.0572083555904e-4,-1.4238977592894e-4,2,face
V2980,14.177,67.595,15.178,-2.9763210329097e-4,2.7496064460861e-4,2.26714586823597e-5,3,place
V2991,13.995,71.345,15.336,5.7620847438927e-4,-1.7561060871869e-4,-4.0059786567058e-4,2,face
V3013,-33.23,76.772,17.767,4.74546216819216e-5,-6.889155229821e-4,6.4146090130018e-4,1,object
V3017,-15.207,77.569,16.953,-2.4069332314448e-4,6.40071234407964e-5,1.7668619970368e-4,3,place
V3042,-33.594,84.272,18.082,-2.9582657725687e-4,4.6990385774912e-4,-1.7407728049224e-4,3,place
V3068,13.223,-56.864,14.17,-4.8394593846818e-4,6.0018393254846e-4,-1.1623799408028e-4,3,place
V3081,13.041,-53.114,14.328,-4.5261705907963e-4,5.3309370046757e-4,-8.04766413879438e-5,3,place
V3120,-2.1066,-38.752,15.609,5.7290750241977e-4,-1.1908007588772e-4,-4.5382742653205e-4,2,face
V3248,-17.476,54.517,20.036,-2.0148134481355e-4,6.2977338338334e-4,-4.2829203856978e-4,3,place
V3259,43.621,60.977,17.427,-8.47905610999774e-5,8.3226087559031e-4,-7.4747031449034e-4,3,place
V3260,47.225,61.137,17.264,-6.5619516206299e-4,-1.8850155439199e-4,8.4469671645498e-4,1,object
V3261,50.83,61.296,17.101,-4.3127113552513e-4,0.00112828701274158,-6.9701587721644e-4,3,place
V3267,-21.446,61.857,20.514,-1.6800853271215e-4,-3.8007470150096e-4,5.4808323421312e-4,1,object
V3268,-17.841,62.017,20.351,-9.0848750264215e-4,3.8934481360209e-4,5.1914268904006e-4,1,object
V3273,47.043,64.886,17.422,-2.880900591559e-4,7.0396771170784e-4,-4.1587765255194e-4,3,place
V3275,54.252,65.206,17.096,-1.5466533510768e-4,-3.0752036359746e-4,4.6218569870515e-4,1,object
V3276,-50.465,64.331,21.974,-6.77242314059762e-5,-5.2144235549601e-4,5.8916658690198e-4,1,object
V3280,-3.6045,66.404,19.858,-4.0064347233345e-4,1.0160611193248e-4,2.9903736040096e-4,3,place
V3281,1.6258e-4,66.563,19.695,-4.0053520173088e-4,1.1685366073234e-4,2.8368154099853e-4,3,place
V3287,-54.252,67.922,22.294,-1.7231409387513e-4,-8.1265779741101e-5,2.5357987361623e-4,3,place
V3288,-50.647,68.081,22.132,-4.1711375096878e-4,-4.9176075797688e-4,9.0887450894567e-4,1,object
V3292,-29.019,69.038,21.155,6.07614952108244e-5,-7.6209580239623e-4,7.0133430718541e-4,1,object
V3295,-0.18207,70.314,19.853,4.9460260354219e-4,6.14168203588782e-5,-5.5601942390107e-4,2,face
V3306,-29.202,72.788,21.312,5.6949844570539e-4,-6.4717878687882e-5,-5.0478056701751e-4,2,face
V3319,-29.384,76.537,21.47,-1.1723439616742e-4,-6.4021589966377e-4,7.574502958312e-4,1,object
V3329,35.5,79.408,18.54,-3.1041503829292e-4,2.5412728325114e-4,5.62877550417875e-5,3,place
V3330,-29.566,80.288,21.627,-4.7554640692038e-4,2.1717503599662e-4,2.5837137092375e-4,3,place
V3341,-29.748,84.037,21.785,7.7799087490394e-4,-7.4231353798801e-4,-3.56773369159327e-5,2,face
V3350,13.647,-61.007,17.878,3.84616252690395e-5,-8.1553702359894e-4,7.770753983299e-4,1,object
V3589,-43.379,71.756,25.829,-7.4314802426045e-4,4.4363151117306e-4,2.9951651308739e-4,3,place
V3592,-32.565,72.235,25.341,4.163929663601e-4,-2.9906940182806e-4,-1.1732356453204e-4,2,face
V3603,32.319,75.104,22.411,-5.7145186194865e-4,2.8941046632085e-4,2.8204139562779e-4,3,place
V3604,35.924,75.263,22.248,-9.3218701479963e-4,6.66413499965439e-5,8.6554566480309e-4,1,object
V3610,-32.747,75.984,25.498,6.5488676552063e-4,-6.0771491357294e-4,-4.7171851947687e-5,2,face
V3611,-29.142,76.143,25.336,7.1218416733864e-4,7.62860753514369e-5,-7.8847024269008e-4,2,face
V3613,-11.119,76.941,24.522,-2.7107315437435e-4,3.3018475895659e-4,-5.9111604582242e-5,3,place
V3620,-36.534,79.575,25.819,-6.2940063109446e-4,-2.8731837474477e-5,6.5813246856893e-4,1,object
V3621,-29.325,79.894,25.493,-3.3085064441401e-4,3.1530494218257e-4,1.55457022314367e-5,3,place
V3625,-11.301,80.691,24.679,-3.8636373696568e-4,5.0156729334495e-4,-1.1520355637927e-4,3,place
V3631,-29.507,83.644,25.651,-9.66972333033734e-6,4.0533519897432e-4,-3.9566547564398e-4,3,place
V3655,-15.496,-51.427,23.519,-6.9032192842079e-4,5.95388317809178e-5,6.3078309663987e-4,1,object
V3714,-34.43,-33.474,25.12,-3.7918436687408e-4,4.7294511861821e-4,-9.37607517441329e-5,3,place
V3731,-42.186,-22.544,25.919,-4.272169379156e-4,0.0010011869532559601,-5.7397001534035e-4,3,place
V3733,40.721,-18.876,22.175,-5.3462351581851e-4,4.4085436594851e-4,9.37691498700008e-5,3,place
V3829,58.704,57.077,24.35,-8.7765538282196e-4,0.00111604965503344,-2.3839427221147e-4,3,place
V3881,18.324,70.323,26.771,-1.9363824449944e-4,8.5364225229677e-4,-6.6000400779732e-4,3,place
V3962,13.036,-39.296,26.555,-3.8855960215423e-4,-6.5511688534271e-4,0.00104367648749695,1,object
V4136,58.763,60.434,28.373,2.4936355781551e-4,7.24928527550062e-5,-3.2185641057052e-4,2,face
V4170,14.961,69.77,30.799,3.5686968946563e-4,-0.00140045284999284,0.0010435831605272,1,object
V4184,11.174,73.361,31.119,9.854446019623e-4,-7.6118227673275e-4,-2.2426232522955e-4,2,face
V4190,10.991,77.11,31.277,6.0415868788612e-4,-8.6326874245092e-4,2.5911005456479e-4,2,face
V4206,-4.1991,-51.736,30.761,3.2040190895528e-4,0.00136519757655796,-0.00168559948551325,3,place
V4210,24.638,-50.461,29.459,4.7991523652742e-4,-0.00126380806992852,7.8389283340109e-4,1,object
V4211,31.847,-50.142,29.134,1.0572854135437e-4,0.00110407013124018,-0.00120979867259456,3,place
V4214,-11.591,-48.305,31.244,-9.6169137543036e-4,3.3590565058572e-4,6.2578572484463e-4,1,object
V4218,24.456,-46.711,29.617,-7.3726697467616e-4,-0.0010987203046475,0.00183598727932367,1,object
V4219,28.061,-46.551,29.454,6.7349610563849e-4,-7.0661258497392e-4,3.31164793354292e-5,2,face
V4285,-45.49,-19.741,33.97,5.2655258068014e-4,-3.6383849195205e-4,-1.6271408872809e-4,2,face
V4376,52.889,37.221,31.619,5.0397018397567e-4,-0.00113450136726601,6.3053118329033e-4,1,object
V4423,-49.135,55.256,37.122,-5.3431626632651e-4,2.7674602997207e-4,2.5757023635444e-4,3,place
V4438,-49.317,59.006,37.279,-2.3047289146478e-4,8.3972287385236e-4,-6.0924998238757e-4,3,place
V4474,15.202,69.376,34.665,2.33062744501274e-5,-0.00145696973723104,0.00143366346278091,1,object
V4508,13.883,-47.583,33.972,1.8417325584731e-4,4.2143141141853e-4,-6.0560466726584e-4,3,place
V4518,17.306,-43.674,33.965,-7.6647582030404e-4,8.21924746869164e-5,6.8428334561712e-4,1,object
V4528,17.123,-39.924,34.124,0.00101677640154515,-1.1594667453593e-4,-9.0082972700921e-4,2,face
V4673,49.525,36.668,35.647,-7.10821134543037e-5,-6.6387343650039e-4,7.3495554995469e-4,1,object
V4729,-48.894,54.862,40.987,-4.7286657168733e-4,5.4691091028017e-4,-7.40443385928398e-5,3,place
V4743,-49.076,58.613,41.145,-8.2412016307602e-4,5.4197490196473e-4,2.8214526111128e-4,3,place
